id|titulo|precioOld|precioNew|imagen|link
73|Smartphone LG L70 Dual D325 4GB 5MP Dual SIM Desbloqueado - Blanco|999.00|449.00|//media.linio.com.pe/p/lg-8052-112161-1-product.jpg|/p/smartphone-lg-l70-dual-d325-4gb-5mp-dual-sim-desbloqueado-blanco-x2476r
74|Samsung Galaxy A5 Duos Dual Chip A500/DS 13MP 16GB Desbloqueado - Blanco|1899.00|999.00|//media.linio.com.pe/p/samsung-9520-4623141-1-product.jpg|/p/samsung-galaxy-a5-duos-dual-chip-a500-ds-13mp-16gb-desbloqueado-blanco-s0hvk0
75|Sony Xperia M4 Aqua (E2306) 4G 16GB-Negro|3000.00|949.00|//media.linio.com.pe/p/sony-6648-5425141-1-product.jpg|/p/sony-xperia-m4-aqua-e2306-4g-16gb-negro-qe5cq8
76|Apple Iphone 4S 3.5'' 8GB 8MP Desbloqueado - Negro|1299.00|749.00|//media.linio.com.pe/p/apple-2509-411429-1-product.jpg|/p/apple-iphone-4s-35-8gb-8mp-desbloqueado-negro-s3iy99
77|neuimage - Smartphone aoc brickell 500q  Quadcore 1.3ghz 5" - blanco|380.00|294.99|//media.linio.com.pe/p/neuimage-1129-5071641-1-product.jpg|/p/neuimage-smartphone-aoc-brickell-500q-quadcore-13ghz-5-blanco-qgi3m6
78|Motorola - Moto X Play 16GB 21MP 5.5'' Desbloqueado - Negro|2899.99|1619.99|//media.linio.com.pe/p/motorola-6407-6686241-1-product.jpg|/p/motorola-moto-x-play-16gb-21mp-55-desbloqueado-negro-opewho
79|Motorola Moto G 3ra Generación XT1540 16GB 2GB RAM 13MP 5'' 4G LTE Libre de Fábrica- Blanco|1599.00|1099.00|//media.linio.com.pe/p/motorola-0090-7803541-1-product.jpg|/p/motorola-moto-g-3ra-generacio-n-xt1540-16gb-2gb-ram-13mp-5-4g-lte-libre-de-fa-brica-blanco-n0o40k
80|Samsung Galaxy Grand Prime DUOS G530H Quad Core 8MP 8GB - Negro|1600.00|709.00|//media.linio.com.pe/p/samsung-0506-5222031-1-product.jpg|/p/samsung-galaxy-grand-prime-duos-g530h-quad-core-8mp-8gb-negro-qfchyx
81|Smartphone Samsung Galaxy S5 SM-G900H 3G 16GB 16MP Desbloqueado - Negro|1800.00|1499.00|//media.linio.com.pe/p/samsung-3866-3232031-1-product.jpg|/p/smartphone-samsung-galaxy-s5-sm-g900h-3g-16gb-16mp-desbloqueado-negro-tqf6y7
82|Smartphone Neuimage AOC Nim-400 Dual Sim 4GB 2MP  - Rojo Fuxia|400.00|169.00|//media.linio.com.pe/p/aoc-9446-5612151-1-product.jpg|/p/smartphone-neuimage-aoc-nim-400-dual-sim-4gb-2mp-rojo-fuxia-qcyju9
83|Apple iPhone 5c 8GB-Blanco|1500.00|985.00|//media.linio.com.pe/p/apple-9499-5956921-1-product.jpg|/p/apple-iphone-5c-8gb-blanco-qb4g6k
84|Smartphone Samsung Galaxy Ace 4 SM-G313M 4G LTE 4GB-Blanco|699.00|599.00|//media.linio.com.pe/p/samsung-6545-135661-1-product.jpg|/p/smartphone-samsung-galaxy-ace-4-sm-g313m-4g-lte-4gb-blanco-x0x83h
85| 8 en 1 reparación de herramientas de la abertura del kit Kit de reparación Especial Conjunto para el iPhone 3G 3GS 4 4S 5|59.00|12.40|//media.linio.com.pe/p/yucheer-7976-5047641-1-product.jpg|/p/-8-en-1-reparacio-n-de-herramientas-de-la-abertura-del-kit-kit-de-reparacio-n-especial-conjunto-para-el-iphone-3g-3gs-4-4s-5-qghz0c
86|Smartphone Motorola Moto G XT1068 2da Generación 8GB 8MP 5'' Dual Sim Desbloqueado - Blanco|999.00|569.00|//media.linio.com.pe/p/motorola-0735-1499811-1-product.jpg|/p/smartphone-motorola-moto-g-xt1068-2da-generacio-n-8gb-8mp-5-dual-sim-desbloqueado-blanco-x095jx
87|Iphone 5s 16GB Desbloqueado - Dorado.||3000.00|//media.linio.com.pe/p/apple-1508-3144121-1-product.jpg|/p/iphone-5s-16gb-desbloqueado-dorado-tr0dae
88|Samsung -  Galaxy Grand Prime Duos G530H 8GB 8MP Dual Sim Desbloqueado - Gris|900.00|729.99|//media.linio.com.pe/p/samsung-7081-4271031-1-product.jpg|/p/samsung-galaxy-grand-prime-duos-g530h-8gb-8mp-dual-sim-desbloqueado-gris-s2vv73
89|Smartphone Samsung Galaxy Core II Duos GT-SM G355M 4GB 5MP 4.5'' Desbloqueado - Blanco|629.00|499.00|//media.linio.com.pe/p/samsung-4313-1047331-1-product.jpg|/p/smartphone-samsung-galaxy-core-ii-duos-gt-sm-g355m-4gb-5mp-45-desbloqueado-blanco-x2o04t
90|Sky - Celular 4.0D 4G 5MP Desbloqueado - Negro|399.00|249.00|//media.linio.com.pe/p/sky-4759-331351-1-product.jpg|/p/sky-celular-40d-4g-5mp-desbloqueado-negro-tput65
91|Apple iPhone 6s Plus 64GB-Gris Espacial|4800.00|3999.00|//media.linio.com.pe/p/apple-2083-0362241-1-product.jpg|/p/apple-iphone-6s-plus-64gb-gris-espacial-yofddc
92|Smartphone Neuimage AOC Nim-400 Dual Sim 4GB 2MP  - Azul|400.00|169.00|//media.linio.com.pe/p/aoc-9506-6612151-1-product.jpg|/p/smartphone-neuimage-aoc-nim-400-dual-sim-4gb-2mp-azul-opf7ch
93|Motorola Moto G 2da Generación 16GB 8MP - Negro|1200.00|845.00|//media.linio.com.pe/p/motorola-1275-7516921-1-product.jpg|/p/motorola-moto-g-2da-generacio-n-16gb-8mp-negro-n2fhn8
94|Smartphone Samsung Galaxy Ace 4 Neo 4GB 3MP - Negro||499.00|//media.linio.com.pe/p/samsung-7372-3212431-1-product.jpg|/p/smartphone-samsung-galaxy-ace-4-neo-4gb-3mp-negro-tqec3n
95|Smartphone Samsung Galaxy Grand Prime DUOS G530H Quad Core 8MP 8GB - Negro|1600.00|649.00|//media.linio.com.pe/p/samsung-2982-5624921-1-product.jpg|/p/smartphone-samsung-galaxy-grand-prime-duos-g530h-quad-core-8mp-8gb-negro-qcwska
96|HTC Desire 610 8GB 8MP 4G Desbloqueado - Azul|820.00|629.00|//media.linio.com.pe/p/htc-7720-2444241-1-product.jpg|/p/htc-desire-610-8gb-8mp-4g-desbloqueado-azul-vcr790
97|Leotec Champions C55 DualSIM QuadCore 5.5" 8GB 8MP + 2 Carcasas - Negro|899.00|436.00|//media.linio.com.pe/p/leotec-1136-0746331-1-product.jpg|/p/leotec-champions-c55-dualsim-quadcore-55-8gb-8mp-2-carcasas-negro-ym1c5x
98|Samsung Galaxy  J700 Duos 16 GB 13MP 5.5" 4G LTE Desbloqueado Blanco|1294.00|999.00|//media.linio.com.pe/p/samsung-9106-0297141-1-product.jpg|/p/samsung-galaxy-j700-duos-16-gb-13mp-55-4g-lte-desbloqueado-blanco-yp0wt6
99|Apple iPhone 6s Plus 128GB-Gris Espacial|5100.00|4299.00|//media.linio.com.pe/p/apple-9480-9171341-1-product.jpg|/p/apple-iphone-6s-plus-128gb-gris-espacial-jtrx6m
100|Samsung Galaxy J7 J700M 4G, 16GB,13PMX,DESBLOQUEADO  DORADO|1799.00|1029.00|//media.linio.com.pe/p/samsung-1709-8472641-1-product.jpg|/p/samsung-galaxy-j7-j700m-4g-16gb-13pmx-desbloqueado-dorado-lfiaxy
101|Smartphone Apple iPhone 5s 16GB Desbloqueado - space gray|1999.00|1549.00|//media.linio.com.pe/p/apple-4651-2092611-1-product.jpg|/p/smartphone-apple-iphone-5s-16gb-desbloqueado-space-gray-vf44b9
102|LG Leon 8GB 8MP 4.5''  Desbloqueado - Negro|999.00|509.00|//media.linio.com.pe/p/lg-6988-3661831-1-product.jpg|/p/lg-leon-8gb-8mp-45-desbloqueado-negro-tnzrjt
103|Samsung Galaxy J7  4G LTE 16GB 13MP 5.5'' Desbloqueado - Dorado|1800.00|1049.00|//media.linio.com.pe/p/samsung-6087-9691441-1-product.jpg|/p/samsung-galaxy-j7-4g-lte-16gb-13mp-55-desbloqueado-dorado-jqsjfe
104|Apple iPhone 6s 64GB-Gris Espacial|3899.99|3275.00|//media.linio.com.pe/p/apple-1570-3027831-1-product.jpg|/p/apple-iphone-6s-64gb-gris-espacial-trk8kx
105|Smartphone Samsung Galaxy S6 Edge Plus 32GB-Negro Zafiro|3800.00|2599.00|//media.linio.com.pe/p/samsung-3267-1824431-1-product.jpg|/p/smartphone-samsung-galaxy-s6-edge-plus-32gb-negro-zafiro-wxwdwp
106|SONY XPERIA Z5 COMPACT E5823 4G LTE - NEGRO|2899.00|2149.00|//media.linio.com.pe/p/sony-9657-0353541-1-product.jpg|/p/sony-xperia-z5-compact-e5823-4g-lte-negro-yoepgi
107|Samsung Galaxy S5 4G LTE - 16MPX Video UltraHD 4K 16GB Android 5 + 02regalos - Negro|2700.00|1490.00|//media.linio.com.pe/p/samsung-2489-9223151-1-product.jpg|/p/samsung-galaxy-s5-4g-lte-16mpx-video-ultrahd-4k-16gb-android-5-02regalos-negro-jt6vi7
108|Sony Xperia Z3 Compact 16 GB-Blanco|2209.00|1399.00|//media.linio.com.pe/p/sony-9844-993171-1-product.jpg|/p/sony-xperia-z3-compact-16-gb-blanco-jp1qo9
